2020-02-12 10:40:57.376 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration'
2020-02-12 10:40:57.383 DEBUG 12320 --- [main] ocalVariableTableParameterNameDiscoverer : Cannot find '.class' file for class [class org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration$$EnhancerBySpringCGLIB$$996a859f] - unable to determine constructor/method parameter names
2020-02-12 10:40:57.388 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'mybatis-org.mybatis.spring.boot.autoconfigure.MybatisProperties'
2020-02-12 10:40:57.520 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration' via constructor to bean named 'mybatis-org.mybatis.spring.boot.autoconfigure.MybatisProperties'
2020-02-12 10:40:57.520 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration' via constructor to bean named 'org.springframework.web.context.support.GenericWebApplicationContext@503ecb24'
2020-02-12 10:40:57.529 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'dataSource'
2020-02-12 10:40:57.530 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Hikari'
2020-02-12 10:40:57.531 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'spring.datasource-org.springframework.boot.autoconfigure.jdbc.DataSourceProperties'
2020-02-12 10:40:57.543 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'dataSource' via factory method to bean named 'spring.datasource-org.springframework.boot.autoconfigure.jdbc.DataSourceProperties'
2020-02-12 10:40:57.556 DEBUG 12320 --- [main] com.zaxxer.hikari.HikariConfig           : Driver class org.h2.Driver found in Thread context class loader sun.misc.Launcher$AppClassLoader@7d4991ad
2020-02-12 10:40:57.575 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jdbc.DataSourceInitializerInvoker'
2020-02-12 10:40:57.579 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.jdbc.DataSourceInitializerInvoker' via constructor to bean named 'spring.datasource-org.springframework.boot.autoconfigure.jdbc.DataSourceProperties'
2020-02-12 10:40:57.580 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.jdbc.DataSourceInitializerInvoker' via constructor to bean named 'org.springframework.web.context.support.GenericWebApplicationContext@503ecb24'
2020-02-12 10:40:57.589 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'sqlSessionFactory' via factory method to bean named 'dataSource'
2020-02-12 10:40:57.617 DEBUG 12320 --- [main] org.apache.ibatis.io.VFS                 : Using VFS adapter org.mybatis.spring.boot.autoconfigure.SpringBootVFS
2020-02-12 10:40:57.647 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.CommunityApplicationTests matches criteria [is assignable to Object]
2020-02-12 10:40:57.648 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.CommunityApplication matches criteria [is assignable to Object]
2020-02-12 10:40:57.648 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.advice.CustomizeExceptionHandler matches criteria [is assignable to Object]
2020-02-12 10:40:57.648 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.controller.AuthorizeController matches criteria [is assignable to Object]
2020-02-12 10:40:57.648 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.controller.CommentController matches criteria [is assignable to Object]
2020-02-12 10:40:57.649 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.controller.CustomizeErrorController matches criteria [is assignable to Object]
2020-02-12 10:40:57.651 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.controller.FileUploadController matches criteria [is assignable to Object]
2020-02-12 10:40:57.653 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.controller.IndexController matches criteria [is assignable to Object]
2020-02-12 10:40:57.654 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.controller.ProfileController matches criteria [is assignable to Object]
2020-02-12 10:40:57.655 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.controller.PublishController matches criteria [is assignable to Object]
2020-02-12 10:40:57.658 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.controller.QuestionController matches criteria [is assignable to Object]
2020-02-12 10:40:57.659 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.dto.AccessTokenDto matches criteria [is assignable to Object]
2020-02-12 10:40:57.660 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.dto.CommentCreateDto matches criteria [is assignable to Object]
